customer_id,concept_id,customer_comments,pain_point_statements,objection_themes,requested_capabilities
CUST-0079,CONCEPT-008,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,integration complexity with existing ERP; change management burden; accuracy not proven on our data,data export to Excel/CSV; email-only notification mode
CUST-0038,CONCEPT-008,Accuracy on edge cases was disappointing during the live demo.,Equipment failure predictions have 60% false negative rate.,lack of internal ML expertise; change management burden; unclear ROI timeline,data export to Excel/CSV
CUST-0002,CONCEPT-008,Accuracy on edge cases was disappointing during the live demo.,Field technician scheduling is done manually each morning.,budget already allocated elsewhere,data export to Excel/CSV; on-premise deployment option
CUST-0059,CONCEPT-008,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,data privacy and residency concerns; unclear ROI timeline; integration complexity with existing ERP,email-only notification mode
CUST-0078,CONCEPT-008,The value proposition was unclear for our specific segment.,Equipment failure predictions have 60% false negative rate.,,simplified admin console; on-premise deployment option
CUST-0050,CONCEPT-008,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,unclear ROI timeline; integration complexity with existing ERP,email-only notification mode; on-premise deployment option; data export to Excel/CSV
CUST-0039,CONCEPT-008,Mrs same son today major event magazine home protect something right subject try.,Field technician scheduling is done manually each morning.,change management burden; vendor lock-in risk; unclear ROI timeline,email-only notification mode
CUST-0012,CONCEPT-008,Accuracy on edge cases was disappointing during the live demo.,Equipment failure predictions have 60% false negative rate.,integration complexity with existing ERP; change management burden; lack of internal ML expertise,on-premise deployment option; data export to Excel/CSV; email-only notification mode
CUST-0024,CONCEPT-008,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,change management burden; unclear ROI timeline; budget already allocated elsewhere,data export to Excel/CSV; on-premise deployment option
CUST-0067,CONCEPT-008,Move trade option production base investment term consider employee force lawyer front they everything week instead.,Equipment failure predictions have 60% false negative rate.,accuracy not proven on our data; integration complexity with existing ERP,simplified admin console; data export to Excel/CSV; on-premise deployment option
CUST-0008,CONCEPT-008,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,,email-only notification mode
CUST-0006,CONCEPT-009,The value proposition was unclear for our specific segment.,Cross-agency data sharing is blocked by siloed systems.,budget already allocated elsewhere; vendor lock-in risk; change management burden,email-only notification mode; simplified admin console
CUST-0067,CONCEPT-009,Like see appear weight difference attention whatever American.,Citizen request processing takes 14 days average.,,
CUST-0012,CONCEPT-009,Competing internal project may cover similar ground.,Cross-agency data sharing is blocked by siloed systems.,vendor lock-in risk; accuracy not proven on our data; data privacy and residency concerns,on-premise deployment option; simplified admin console; data export to Excel/CSV
CUST-0080,CONCEPT-009,Accuracy on edge cases was disappointing during the live demo.,Cross-agency data sharing is blocked by siloed systems.,change management burden; budget already allocated elsewhere; lack of internal ML expertise,data export to Excel/CSV; on-premise deployment option
CUST-0029,CONCEPT-009,Competing internal project may cover similar ground.,Citizen request processing takes 14 days average.,integration complexity with existing ERP; lack of internal ML expertise; vendor lock-in risk,data export to Excel/CSV; email-only notification mode
CUST-0005,CONCEPT-009,The value proposition was unclear for our specific segment.,Citizen request processing takes 14 days average.,unclear ROI timeline; data privacy and residency concerns; accuracy not proven on our data,email-only notification mode; data export to Excel/CSV
CUST-0008,CONCEPT-009,Accuracy on edge cases was disappointing during the live demo.,,,email-only notification mode; simplified admin console; data export to Excel/CSV
CUST-0034,CONCEPT-009,Wear current after charge call prove nor.,Cross-agency data sharing is blocked by siloed systems.,accuracy not proven on our data; lack of internal ML expertise; change management burden,email-only notification mode; data export to Excel/CSV
CUST-0019,CONCEPT-009,Let eight hard paper white responsibility sing clearly find official.,Cross-agency data sharing is blocked by siloed systems.,,audit trail and explainability dashboard; multi-language document support
CUST-0033,CONCEPT-009,Accuracy on edge cases was disappointing during the live demo.,Grant application review is entirely manual.,,
CUST-0028,CONCEPT-009,Accuracy on edge cases was disappointing during the live demo.,Grant application review is entirely manual.,accuracy not proven on our data; integration complexity with existing ERP; vendor lock-in risk,email-only notification mode
CUST-0061,CONCEPT-009,Competing internal project may cover similar ground.,,,
CUST-0067,CONCEPT-010,Implementation timeline seems unrealistic for our infrastructure.,Compliance reporting requires 3 separate manual systems.,data privacy and residency concerns; lack of internal ML expertise,data export to Excel/CSV
CUST-0014,CONCEPT-010,Office traditional heart walk cup option store drug recent feeling range.,Compliance reporting requires 3 separate manual systems.,,on-premise deployment option; simplified admin console
CUST-0078,CONCEPT-010,Interesting concept but we need to see it on our own data first.,Compliance reporting requires 3 separate manual systems.,unclear ROI timeline; change management burden; budget already allocated elsewhere,simplified admin console; on-premise deployment option; email-only notification mode
CUST-0076,CONCEPT-010,Competing internal project may cover similar ground.,,unclear ROI timeline,simplified admin console; email-only notification mode
CUST-0063,CONCEPT-010,Interesting concept but we need to see it on our own data first.,,budget already allocated elsewhere; vendor lock-in risk,multi-language document support
CUST-0059,CONCEPT-010,"Good demo, but our procurement cycle is 6+ months.",Compliance reporting requires 3 separate manual systems.,lack of internal ML expertise; accuracy not proven on our data; budget already allocated elsewhere,email-only notification mode; simplified admin console
CUST-0043,CONCEPT-010,Would need executive sponsorship before moving forward.,Field technician scheduling is done manually each morning.,budget already allocated elsewhere,audit trail and explainability dashboard
CUST-0049,CONCEPT-010,Someone not American mouth product attention positive actually information.,Compliance reporting requires 3 separate manual systems.,lack of internal ML expertise; integration complexity with existing ERP,data export to Excel/CSV; on-premise deployment option; simplified admin console
CUST-0069,CONCEPT-010,Interesting concept but we need to see it on our own data first.,Field technician scheduling is done manually each morning.,integration complexity with existing ERP; unclear ROI timeline,role-based access control with SSO; audit trail and explainability dashboard; multi-language document support
CUST-0023,CONCEPT-010,Competing internal project may cover similar ground.,Compliance reporting requires 3 separate manual systems.,integration complexity with existing ERP; vendor lock-in risk; change management burden,
CUST-0037,CONCEPT-010,The value proposition was unclear for our specific segment.,Field technician scheduling is done manually each morning.,,multi-language document support; audit trail and explainability dashboard; API integration with Salesforce
CUST-0057,CONCEPT-010,Would need executive sponsorship before moving forward.,Compliance reporting requires 3 separate manual systems.,change management burden; accuracy not proven on our data; budget already allocated elsewhere,multi-language document support; role-based access control with SSO
CUST-0021,CONCEPT-010,Accuracy on edge cases was disappointing during the live demo.,Equipment failure predictions have 60% false negative rate.,vendor lock-in risk; budget already allocated elsewhere,data export to Excel/CSV; email-only notification mode
CUST-0054,CONCEPT-010,Would need executive sponsorship before moving forward.,Field technician scheduling is done manually each morning.,change management burden,API integration with Salesforce; role-based access control with SSO
CUST-0009,CONCEPT-011,Black whether player stock religious itself safe whole establish space Mrs low itself room.,,integration complexity with existing ERP; lack of internal ML expertise; vendor lock-in risk,data export to Excel/CSV; email-only notification mode
CUST-0013,CONCEPT-011,"Good demo, but our procurement cycle is 6+ months.",Network fault triage takes 45 minutes per incident.,budget already allocated elsewhere; unclear ROI timeline; vendor lock-in risk,audit trail and explainability dashboard; role-based access control with SSO; multi-language document support
CUST-0045,CONCEPT-011,Would need executive sponsorship before moving forward.,Network fault triage takes 45 minutes per incident.,vendor lock-in risk; lack of internal ML expertise; budget already allocated elsewhere,simplified admin console
CUST-0074,CONCEPT-011,Accuracy on edge cases was disappointing during the live demo.,,integration complexity with existing ERP; budget already allocated elsewhere,email-only notification mode; simplified admin console
CUST-0060,CONCEPT-011,Implementation timeline seems unrealistic for our infrastructure.,Network fault triage takes 45 minutes per incident.,integration complexity with existing ERP; accuracy not proven on our data,on-premise deployment option
CUST-0035,CONCEPT-011,Competing internal project may cover similar ground.,Churn prediction models are updated only annually.,,multi-language document support; role-based access control with SSO
CUST-0067,CONCEPT-011,The value proposition was unclear for our specific segment.,Customer complaints are分散 across 5 ticketing systems.,change management burden,audit trail and explainability dashboard; multi-language document support
CUST-0078,CONCEPT-011,Some features overlap with tools we already own.,Churn prediction models are updated only annually.,data privacy and residency concerns; budget already allocated elsewhere,multi-language document support; API integration with Salesforce
CUST-0070,CONCEPT-011,Implementation timeline seems unrealistic for our infrastructure.,Churn prediction models are updated only annually.,change management burden; integration complexity with existing ERP; data privacy and residency concerns,role-based access control with SSO; audit trail and explainability dashboard
CUST-0019,CONCEPT-011,The demo workflow felt intuitive — our team picked it up in under an hour.,Network fault triage takes 45 minutes per incident.,,audit trail and explainability dashboard; role-based access control with SSO
CUST-0008,CONCEPT-011,Accuracy on edge cases was disappointing during the live demo.,Customer complaints are分散 across 5 ticketing systems.,lack of internal ML expertise; change management burden; data privacy and residency concerns,data export to Excel/CSV
CUST-0072,CONCEPT-011,Implementation timeline seems unrealistic for our infrastructure.,Customer complaints are分散 across 5 ticketing systems.,,
CUST-0029,CONCEPT-011,Accuracy on edge cases was disappointing during the live demo.,Customer complaints are分散 across 5 ticketing systems.,lack of internal ML expertise; unclear ROI timeline; vendor lock-in risk,
CUST-0063,CONCEPT-011,Some features overlap with tools we already own.,Network fault triage takes 45 minutes per incident.,change management burden; integration complexity with existing ERP; accuracy not proven on our data,API integration with Salesforce
CUST-0053,CONCEPT-011,Implementation timeline seems unrealistic for our infrastructure.,Network fault triage takes 45 minutes per incident.,change management burden; unclear ROI timeline; lack of internal ML expertise,on-premise deployment option; simplified admin console
CUST-0054,CONCEPT-011,Implementation timeline seems unrealistic for our infrastructure.,Network fault triage takes 45 minutes per incident.,change management burden; lack of internal ML expertise,on-premise deployment option
CUST-0017,CONCEPT-012,Accuracy on edge cases was disappointing during the live demo.,,data privacy and residency concerns; vendor lock-in risk; budget already allocated elsewhere,simplified admin console; email-only notification mode; on-premise deployment option
CUST-0039,CONCEPT-012,We do not have budget for new AI initiatives this fiscal year.,Patient intake forms are inconsistent across facilities.,unclear ROI timeline; change management burden,simplified admin console; data export to Excel/CSV; email-only notification mode
CUST-0061,CONCEPT-012,"Good demo, but our procurement cycle is 6+ months.",Patient intake forms are inconsistent across facilities.,budget already allocated elsewhere; integration complexity with existing ERP,batch and streaming inference modes; A/B testing framework for model variants
CUST-0023,CONCEPT-012,Interesting concept but we need to see it on our own data first.,Patient intake forms are inconsistent across facilities.,,role-based access control with SSO; audit trail and explainability dashboard; multi-language document support
CUST-0055,CONCEPT-012,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,,role-based access control with SSO; multi-language document support; API integration with Salesforce
CUST-0003,CONCEPT-012,"Good demo, but our procurement cycle is 6+ months.",Clinician documentation consumes 2 hours per patient.,vendor lock-in risk; lack of internal ML expertise,API integration with Salesforce
CUST-0027,CONCEPT-012,Would need executive sponsorship before moving forward.,Clinician documentation consumes 2 hours per patient.,data privacy and residency concerns; lack of internal ML expertise,data export to Excel/CSV; on-premise deployment option
CUST-0075,CONCEPT-012,Promising direction — scheduling a follow-up with the architecture team.,Clinician documentation consumes 2 hours per patient.,data privacy and residency concerns; integration complexity with existing ERP,API integration with Salesforce; multi-language document support; role-based access control with SSO
CUST-0056,CONCEPT-012,Accuracy on edge cases was disappointing during the live demo.,Patient intake forms are inconsistent across facilities.,unclear ROI timeline; vendor lock-in risk,simplified admin console; email-only notification mode; data export to Excel/CSV
CUST-0044,CONCEPT-012,Accuracy on edge cases was disappointing during the live demo.,Clinician documentation consumes 2 hours per patient.,integration complexity with existing ERP; vendor lock-in risk,data export to Excel/CSV; email-only notification mode; simplified admin console
CUST-0015,CONCEPT-012,Would need executive sponsorship before moving forward.,Clinician documentation consumes 2 hours per patient.,integration complexity with existing ERP; unclear ROI timeline,API integration with Salesforce
CUST-0066,CONCEPT-012,Promising direction — scheduling a follow-up with the architecture team.,Patient intake forms are inconsistent across facilities.,,custom model retraining pipeline; A/B testing framework for model variants
CUST-0069,CONCEPT-012,Interesting concept but we need to see it on our own data first.,Compliance audits require manual evidence gathering.,,on-premise deployment option
CUST-0036,CONCEPT-012,Implementation timeline seems unrealistic for our infrastructure.,Clinician documentation consumes 2 hours per patient.,,audit trail and explainability dashboard; API integration with Salesforce; role-based access control with SSO
CUST-0058,CONCEPT-012,"Good demo, but our procurement cycle is 6+ months.",Patient intake forms are inconsistent across facilities.,integration complexity with existing ERP,multi-language document support; API integration with Salesforce; role-based access control with SSO
CUST-0060,CONCEPT-012,Focus early various everything late seek now property from management foot.,Compliance audits require manual evidence gathering.,budget already allocated elsewhere,audit trail and explainability dashboard; API integration with Salesforce
CUST-0032,CONCEPT-012,Promising direction — scheduling a follow-up with the architecture team.,Patient intake forms are inconsistent across facilities.,unclear ROI timeline; lack of internal ML expertise,simplified admin console; data export to Excel/CSV; email-only notification mode
CUST-0035,CONCEPT-012,Would need executive sponsorship before moving forward.,Compliance audits require manual evidence gathering.,,role-based access control with SSO; multi-language document support; API integration with Salesforce
CUST-0062,CONCEPT-012,Some features overlap with tools we already own.,Clinician documentation consumes 2 hours per patient.,integration complexity with existing ERP; change management burden; lack of internal ML expertise,role-based access control with SSO; API integration with Salesforce
CUST-0050,CONCEPT-012,We do not have budget for new AI initiatives this fiscal year.,Compliance audits require manual evidence gathering.,,multi-language document support; role-based access control with SSO; audit trail and explainability dashboard
